Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig.CL	e.Driver	e.Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
RUNX1T1	brca	7	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.51	1	1	1	1	1	1	1	0.00574396741807248	1	1	1
UBR5	brca	17	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.205	1	1	1	1	1	1	1	2.31977296599384e-05	1	1	1
EWSR1	brca	7	No	Unk	Other somatic drivers in other tissues	1	0.226338878565517	1	1	0.337	1	1	1	1	1	1	1	0.0183450576072083	1	1	1
CNOT3	brca	16	No	TSG	Missense somatic drivers in other tissues	1	0.452921883886679	1	1	0.603	1	1	1	1	1	1	1	0.00893072546385085	1	1	1
APC	brca	24	No	TSG	Missense somatic drivers in other tissues	1	0.340256728506921	1	1	0.0441	1	1	1	1	1	1	1	0.0235230141714632	1	1	2
FANCA	brca	10	No	Unk	Other germline drivers in other tissues	1	0.850251936481014	1	1	0.268	1	1	1	1	1	1	1	0.0316600328557837	1	1	1
NOTCH2	brca	27	No	OG/TSG	Missense somatic drivers in other tissues	0.7203155	0.532055840898013	0.0859176465693	1	0.987	1	1	0.00665679	0.00665679	0.01	1	1	0.144400140484677	1	1	3
NUMA1	brca	11	No	Unk	Other somatic drivers in other tissues	1	1	0.146100095599	1	0.343	1	1	1	1	1	1	1	0.014720797170144	1	1	1
CASC5	brca	8	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.89	0.770926717143951	1	1	1	1	1	1	0.00489760117609609	1	1	1
THRAP3	brca	6	No	Unk	Other somatic drivers in other tissues	1	0.868536889381511	0.045345144032	1	0.177	1	1	1	1	1	1	1	0.221785896909365	1	1	1
PDE4DIP	brca	24	No	Unk	Other somatic drivers in other tissues	1	0.429030725596755	1	1	1	1	1	1	1	1	1	1	1	1	0.03910382	1
RHOA	brca	8	No	Unk	Missense somatic drivers in other tissues	0.6511552	0.228636520734799	0.0202341191644	1	0.879	1	1	1	1	1	0.913958	1	1	1	1	1
PDGFRA	brca	6	No	OG	Missense somatic drivers in other tissues	1	1	1	1	0.00606	1	1	1	1	1	1	1	0.158166614964504	1	1	1
PSIP1	brca	8	No	Unk	Other somatic drivers in other tissues	1	0.762010153160523	1	1	0.0221	1	1	1	1	1	1	1	1	1	1	1
EGFR	brca	5	No	Unk	Missense somatic drivers in other tissues	1	1	0.0202341191644	1	0.596	1	1	0.003259982	0.003259982	0.009	1	1	1	1	1	4
PDGFRB	brca	7	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.589	1	1	1	1	1	1	1	0.103665151015972	1	0.0424115	1
STAT5B	brca	5	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.0204	1	1	1	1	1	1	1	1	1	1	1
ERBB4	brca	13	No	OG/TSG	Missense somatic drivers in other tissues	1	1	1	1	0.296	1	1	1	1	1	0.913958	1	0.00250249257453166	1	1	1
BRCA1	brca	13	No	TSG	Missense somatic drivers in other tissues	1	0.815736407106548	1	1	0.187	1	1	1	1	1	1	1	0.0136025170743723	1	1	1
HIF1A	brca	6	No	OG	Missense somatic drivers in other tissues	1	1	1	1	0.939	1	1	1	1	1	1	1	0.00607831275702266	1	1	1
JAK2	gbm	6	No	OG	Missense somatic drivers in other tissues	1	0.324728912071364	0.492293141255	1	1	1	1	1	1	1	1	1	0.0380902603615541	1	1	1
EP300	gbm	5	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	9.65173239319407e-05	1	1	1
NSD1	gbm	8	No	Unk	Other somatic drivers in other tissues	1	0.790068806445547	1	1	1	1	1	1	1	1	1	1	0.0407836420774632	1	1	1
CREBBP	gbm	11	No	OG/TSG	Missense somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.0270406664755495	1	1	1
DDX5	gbm	5	No	OG	Other somatic drivers in other tissues	1	0.941205968617228	1	1	0.0105	1	1	1	1	1	1	1	0.177417717099206	1	1	1
BCOR	gbm	12	No	TSG	Other somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.000436672985387965	1	1	1
BRCA1	gbm	6	No	TSG	Missense somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	0.0260880395948478	1	1	1
BRAF	gbm	8	No	OG	Missense somatic drivers in other tissues	1	0.0806325914826882	0.000696086388316	1.325925e-14	1e-05	0.272955514798489	1	2.34466e-12	2.34466e-12	5e-04	1	0.0002914	4.73602350389215e-09	4.00070973099269e-17	0.003293495	10
MAP3K1	gbm	7	No	Unk	Missense somatic drivers in other tissues	1	0.414579458756275	0.368471681186	3.059393e-06	7e-05	1	1	1	1	1	1	1	1	8.75578405603134e-08	1	3
